[2026-03-20T07:40:07.237Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:07.441Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:07.643Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:07.847Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:08.051Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:08.254Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:08.457Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:08.661Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:08.865Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:09.068Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:09.271Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:09.473Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:09.676Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:09.880Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:10.083Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:10.298Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:10.501Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:10.704Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
[2026-03-20T07:40:10.906Z] [INFO] [BATCHER] 🌱 GROW+WEAKEN: 0 threads | Money: 74.0%
